"Scenario";"Region";"Carrier.x";"Indicator";"Year";"ymax";"ymin"
"2DS";"CHINA";"Coal";"Industry";2000;61.5635179153095;59.1900434685881
"2DS";"CHINA";"Oil";"Industry";2000;11.6577864439795;6.48101670604825
"2DS";"CHINA";"Gas";"Industry";2000;3.54560298330332;1.30293159609121
"2DS";"CHINA";"Electricity";"Industry";2000;25.037809078248;19.5439739413681
"2DS";"CHINA";"Heat";"Industry";2000;6.21829609039718;5.14255463632868
"2DS";"CHINA";"Bioenergy";"Industry";2000;0;0
"2DS";"CHINA";"Other renewables";"Industry";2000;0.0218301358604926;0
"2DS";"CHINA";"Coal";"Industry";2001;60.609155714602;58.534974589338
"2DS";"CHINA";"Oil";"Industry";2001;10.5769210326519;6.35989412774065
"2DS";"CHINA";"Gas";"Industry";2001;3.64662100793895;1.85581727337616
"2DS";"CHINA";"Electricity";"Industry";2001;25.6057296446476;21.1456102783726
"2DS";"CHINA";"Heat";"Industry";2001;6.15631691648822;5.16739691232621
"2DS";"CHINA";"Bioenergy";"Industry";2001;0;0
"2DS";"CHINA";"Other renewables";"Industry";2001;0.0217928881520142;0
"2DS";"CHINA";"Coal";"Industry";2002;60.2035432433561;57.9255725863733
"2DS";"CHINA";"Oil";"Industry";2002;9.74039999527038;6.25117957955817
"2DS";"CHINA";"Gas";"Industry";2002;3.7372905516359;2.28716645489199
"2DS";"CHINA";"Electricity";"Industry";2002;26.1192245696771;22.3951715374841
"2DS";"CHINA";"Heat";"Industry";2002;6.13087674714104;5.18969429774049
"2DS";"CHINA";"Bioenergy";"Industry";2002;0;0
"2DS";"CHINA";"Other renewables";"Industry";2002;0.0217640607962585;0
"2DS";"CHINA";"Coal";"Industry";2003;59.8374578781854;57.3703379540949
"2DS";"CHINA";"Oil";"Industry";2003;9.07378155233844;6.15305930986208
"2DS";"CHINA";"Gas";"Industry";2003;3.81912431013005;2.61158185512935
"2DS";"CHINA";"Electricity";"Industry";2003;26.5950827565186;23.3972524327418
"2DS";"CHINA";"Heat";"Industry";2003;6.11047510017172;5.20981879355953
"2DS";"CHINA";"Bioenergy";"Industry";2003;0;0
"2DS";"CHINA";"Other renewables";"Industry";2003;0.0217410884546807;0
"2DS";"CHINA";"Coal";"Industry";2004;59.5053901685374;56.8623559163321
"2DS";"CHINA";"Oil";"Industry";2004;8.53007532142693;6.06405664456071
"2DS";"CHINA";"Gas";"Industry";2004;3.89335385148953;2.86914758454293
"2DS";"CHINA";"Electricity";"Industry";2004;27.0391547260294;24.21875
"2DS";"CHINA";"Heat";"Industry";2004;6.09375;5.22807326606851
"2DS";"CHINA";"Bioenergy";"Industry";2004;0;0
"2DS";"CHINA";"Other renewables";"Industry";2004;0.0217223517914712;0
"2DS";"CHINA";"Coal";"Industry";2005;59.2028091103852;56.3958406074964
"2DS";"CHINA";"Oil";"Industry";2005;8.07815658072191;5.982957158333
"2DS";"CHINA";"Gas";"Industry";2005;3.96099202442275;3.08323153920024
"2DS";"CHINA";"Electricity";"Industry";2005;27.4469769650085;24.9044433827043
"2DS";"CHINA";"Heat";"Industry";2005;6.07978977544195;5.24470679425356
"2DS";"CHINA";"Bioenergy";"Industry";2005;0;0
"2DS";"CHINA";"Other renewables";"Industry";2005;0.021706778217432;0
"2DS";"CHINA";"Coal";"Industry";2006;58.925954171936;55.9659137236818
"2DS";"CHINA";"Oil";"Industry";2006;7.69659145038669;5.90875293218302
"2DS";"CHINA";"Gas";"Industry";2006;4.02287944830379;3.26398742450399
"2DS";"CHINA";"Electricity";"Industry";2006;27.8228140298031;25.4854368932039
"2DS";"CHINA";"Heat";"Industry";2006;6.06796116504854;5.25992610259358
"2DS";"CHINA";"Bioenergy";"Industry";2006;0;0
"2DS";"CHINA";"Other renewables";"Industry";2006;0.0216936290995203;0
"2DS";"CHINA";"Coal";"Industry";2007;58.6716782035181;55.5684332891641
"2DS";"CHINA";"Oil";"Industry";2007;7.37013765239032;5.84060044925935
"2DS";"CHINA";"Gas";"Industry";2007;4.0797196286827;3.33054951950777
"2DS";"CHINA";"Electricity";"Industry";2007;28.1702867872566;25.9840098400984
"2DS";"CHINA";"Heat";"Industry";2007;6.05781057810578;5.27390419663982
"2DS";"CHINA";"Bioenergy";"Industry";2007;0;0
"2DS";"CHINA";"Other renewables";"Industry";2007;0.0216823791735147;0
"2DS";"CHINA";"Coal";"Industry";2008;58.4373272761665;55.1998597819796
"2DS";"CHINA";"Oil";"Industry";2008;7.0876593841357;5.7777883885135
"2DS";"CHINA";"Gas";"Industry";2008;4.13210581785153;3.37747301319745
"2DS";"CHINA";"Electricity";"Industry";2008;28.4924894461651;26.3474805186737
"2DS";"CHINA";"Heat";"Industry";2008;6.0490045941807;5.28678696854597
"2DS";"CHINA";"Bioenergy";"Industry";2008;0;0
"2DS";"CHINA";"Other renewables";"Industry";2008;0.0216726446884649;0
"2DS";"CHINA";"Coal";"Industry";2009;58.2206477027117;54.8571504428962
"2DS";"CHINA";"Oil";"Industry";2009;7.02955514510947;5.71971270396625
"2DS";"CHINA";"Gas";"Industry";2009;4.18054179910537;3.42110371154232
"2DS";"CHINA";"Electricity";"Industry";2009;28.7920819511417;26.5615974208138
"2DS";"CHINA";"Heat";"Industry";2009;6.04129263913824;5.29869830831785
"2DS";"CHINA";"Bioenergy";"Industry";2009;0;0
"2DS";"CHINA";"Other renewables";"Industry";2009;0.0216641387570162;0
"2DS";"CHINA";"Coal";"Industry";2010;58.0197133280344;54.5376750803507
"2DS";"CHINA";"Oil";"Industry";2010;7.0031925429549;5.66585713663059
"2DS";"CHINA";"Gas";"Industry";2010;4.22545814008734;3.46177646708822
"2DS";"CHINA";"Electricity";"Industry";2010;29.0713635849581;26.7601553427876
"2DS";"CHINA";"Heat";"Industry";2010;6.03448275862069;5.30974410082368
"2DS";"CHINA";"Bioenergy";"Industry";2010;0;0
"2DS";"CHINA";"Other renewables";"Industry";2010;0.0216566426074972;0
"2DS";"CHINA";"Coal";"Industry";2011;57.8328681141542;54.2391484379675
"2DS";"CHINA";"Oil";"Industry";2011;6.97855859608971;5.61577782584251
"2DS";"CHINA";"Gas";"Industry";2011;4.26722502716662;3.4997822183075
"2DS";"CHINA";"Electricity";"Industry";2011;29.3323320920699;26.9447907365991
"2DS";"CHINA";"Heat";"Industry";2011;6.02842542318748;5.32001538201457
"2DS";"CHINA";"Bioenergy";"Industry";2011;0;0
"2DS";"CHINA";"Other renewables";"Industry";2011;0.0216499865007601;0
"2DS";"CHINA";"Coal";"Industry";2012;57.6586803937284;53.9595754441659
"2DS";"CHINA";"Oil";"Industry";2012;6.95548867435919;5.56909104802511
"2DS";"CHINA";"Gas";"Industry";2012;4.3061624914909;3.53537495993092
"2DS";"CHINA";"Electricity";"Industry";2012;29.5767315407714;27.1169183372481
"2DS";"CHINA";"Heat";"Industry";2012;6.02300242130751;5.32959085370764
"2DS";"CHINA";"Bioenergy";"Industry";2012;0;0
"2DS";"CHINA";"Other renewables";"Industry";2012;0.0216440367221813;0
"2DS";"CHINA";"Coal";"Industry";2013;57.4959061160056;52.9703739630049
"2DS";"CHINA";"Oil";"Industry";2013;6.80916238833425;5.52546336566121
"2DS";"CHINA";"Gas";"Industry";2013;4.34254862488908;3.70211607679877
"2DS";"CHINA";"Electricity";"Industry";2013;30.2058700944789;27.2777674820862
"2DS";"CHINA";"Heat";"Industry";2013;6.01811906816221;5.3385389040345
"2DS";"CHINA";"Bioenergy";"Industry";2013;0.0882315364985463;0
"2DS";"CHINA";"Other renewables";"Industry";2013;0.0276327564628277;0
"2DS";"CHINA";"Coal";"Industry";2014;57.3434590883857;52.0325434502529
"2DS";"CHINA";"Oil";"Industry";2014;6.7421266845183;5.48460365126792
"2DS";"CHINA";"Gas";"Industry";2014;4.3766262319947;4.08575367567806
"2DS";"CHINA";"Electricity";"Industry";2014;30.802336379308;27.4284115173037
"2DS";"CHINA";"Heat";"Industry";2014;6.01369863013699;5.34691924332649
"2DS";"CHINA";"Bioenergy";"Industry";2014;0.171881054509999;0
"2DS";"CHINA";"Other renewables";"Industry";2014;0.0333952491374764;0
"2DS";"CHINA";"Coal";"Industry";2015;56.1814659507701;51.142183506429
"2DS";"CHINA";"Oil";"Industry";2015;6.70102721238197;5.56343371200437
"2DS";"CHINA";"Gas";"Industry";2015;4.87937338662997;4.14615815569266
"2DS";"CHINA";"Electricity";"Industry";2015;31.3686110746098;27.7016262698354
"2DS";"CHINA";"Heat";"Industry";2015;6.03145150590306;5.52184793544775
"2DS";"CHINA";"Bioenergy";"Industry";2015;0.25129644902412;0
"2DS";"CHINA";"Other renewables";"Industry";2015;0.0388660592511618;0
"2DS";"CHINA";"Coal";"Industry";2016;55.4554554554555;50.2957788418032
"2DS";"CHINA";"Oil";"Industry";2016;6.66118906041925;5.50550550550551
"2DS";"CHINA";"Gas";"Industry";2016;5.37217827075794;4.4044044044044
"2DS";"CHINA";"Electricity";"Industry";2016;31.9069299274375;27.9694379585182
"2DS";"CHINA";"Heat";"Industry";2016;6.08799334213696;5.69331725766403
"2DS";"CHINA";"Bioenergy";"Industry";2016;0.326791265279173;0
"2DS";"CHINA";"Other renewables";"Industry";2016;0.0470480542492552;0
"2DS";"CHINA";"Coal";"Industry";2017;54.0749751188765;49.3253939252383
"2DS";"CHINA";"Oil";"Industry";2017;6.62255504230595;5.49596372885104
