"model";"Scenario";"Region";"Route";"Unit";"Year";"value";"Range";"Group"
"REMIND";"Baseline";"World";"Nuclear";"GW";2050;842.55;"IAMs";"IAMs"
"REMIND";"Baseline";"World";"PV";"GW";2050;114.378;"IAMs";"IAMs"
"REMIND";"Baseline";"World";"Wind";"GW";2050;1207.963;"IAMs";"IAMs"
"REMIND";"2 Degrees";"World";"Biomass";"GW";2050;71.546;"IAMs";"IAMs"
"REMIND";"2 Degrees";"World";"Nuclear";"GW";2050;2025.3;"IAMs";"IAMs"
"REMIND";"2 Degrees";"World";"PV";"GW";2050;7706.98;"IAMs";"IAMs"
"REMIND";"2 Degrees";"World";"Wind";"GW";2050;5811.659;"IAMs";"IAMs"
"TIAM-ECN";"Baseline";"World";"Biomass";"GW";2050;290.0380572;"IAMs";"IAMs"
"TIAM-ECN";"Baseline";"World";"Nuclear";"GW";2050;729.9952768;"IAMs";"IAMs"
"TIAM-ECN";"Baseline";"World";"PV";"GW";2050;6.176863918;"IAMs";"IAMs"
"TIAM-ECN";"Baseline";"World";"Wind";"GW";2050;364.8275146;"IAMs";"IAMs"
"TIAM-ECN";"2 Degrees";"World";"Biomass";"GW";2050;423.7064254;"IAMs";"IAMs"
"TIAM-ECN";"2 Degrees";"World";"Nuclear";"GW";2050;734.4223227;"IAMs";"IAMs"
"TIAM-ECN";"2 Degrees";"World";"PV";"GW";2050;2149.862362;"IAMs";"IAMs"
"TIAM-ECN";"2 Degrees";"World";"Wind";"GW";2050;2131.768618;"IAMs";"IAMs"
"WITCH";"Baseline";"World";"Biomass";"GW";2050;1.40384365;"IAMs";"IAMs"
"WITCH";"Baseline";"World";"Nuclear";"GW";2050;827.6495205;"IAMs";"IAMs"
"WITCH";"Baseline";"World";"PV";"GW";2050;318.5147048;"IAMs";"IAMs"
"WITCH";"Baseline";"World";"Wind";"GW";2050;484.7815256;"IAMs";"IAMs"
"WITCH";"2 Degrees";"World";"Biomass";"GW";2050;571.7010618;"IAMs";"IAMs"
"WITCH";"2 Degrees";"World";"Nuclear";"GW";2050;1574.929315;"IAMs";"IAMs"
"WITCH";"2 Degrees";"World";"PV";"GW";2050;1237.59284;"IAMs";"IAMs"
"WITCH";"2 Degrees";"World";"Wind";"GW";2050;950.1540155;"IAMs";"IAMs"
